iter	Passed	Remaining
0	1	145
1	2	139
2	4	131
3	5	121
4	6	121
5	7	120
6	8	119
7	10	117
8	11	116
9	12	116
10	14	115
11	15	113
12	16	112
13	18	111
14	19	109
15	20	108
16	21	106
17	23	105
18	24	103
19	25	103
20	27	101
21	28	100
22	29	99
23	30	97
24	32	96
25	33	95
26	34	94
27	36	92
28	37	91
29	38	90
30	40	90
31	42	89
32	43	88
33	45	87
34	46	86
35	47	84
36	48	83
37	50	82
38	51	80
39	53	79
40	54	78
41	55	76
42	56	74
43	57	73
44	59	72
45	60	71
46	61	69
47	63	68
48	64	67
49	66	66
50	67	64
51	68	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	56
57	76	55
58	78	54
59	79	53
60	80	51
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	95	38
71	96	37
72	98	36
73	99	35
74	101	33
75	102	32
76	104	31
77	105	29
78	106	28
79	108	27
80	109	25
81	110	24
82	112	23
83	113	21
84	115	20
85	116	19
86	118	17
87	119	16
88	121	14
89	122	13
90	124	12
91	125	10
92	127	9
93	128	8
94	130	6
95	131	5
96	133	4
97	134	2
98	136	1
99	137	0
